created_at,full_text,username
Mon Feb 12 23:48:58 +0000 2024,Ganjar - Mahfud memberikan dorongan kepada relawan untuk tetap bersemangat dalam menjaga proses pemilihan hingga selesai di TPS. Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @haloimun_ #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/hjtMh48H8E,linaameldaa
Mon Feb 12 23:48:53 +0000 2024,@jyvelve AKU JUGA NGGK TAUTP TEEL AKU PENUH SAMA ALAM GANJAR,cwekjjaNgHaww
Mon Feb 12 23:48:18 +0000 2024,@gus_muslih @aniesbaswedan @cakimiNOW Pilih Ganjar ___ Mahfud,LuluLucyanna
Mon Feb 12 23:48:17 +0000 2024,@niiceinfo semua mutualku tweetsnya ALAM GANJAR,loatheud
Mon Feb 12 23:48:13 +0000 2024,@Melihat_Indo Keren my presiden 2024 bpk Ganjar pranowo semoga sehat slalu Pak... Ganjar Mahfud Hebat #Coblos3 https://t.co/2k21Zr6Sgh,hoba2007
Mon Feb 12 23:47:48 +0000 2024,@ganjarpranowo Mari kita dukung terus Ganjar Mahfud pemimpin yang amanah dan dekat dengan Masyarakat ,CukrukK
Mon Feb 12 23:47:47 +0000 2024,Rasa optimis Ganjar - Mahfud menjadi pendorong para pendukungnya untuk hadir di TPS dengan semangat positif. Ganjar Pranowo terbukti mensejahterakan @hatkorjowo #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/wuHq7h8YeJ,bintangrafiii
Mon Feb 12 23:47:28 +0000 2024,@dwifajard Iya yaudah lanjutin aja hahaha,ganjargun85
Mon Feb 12 23:47:05 +0000 2024,#IMS2020: Begini Lho Gaya Kepemimpinan Ganjar Pranowo https://t.co/NPXty8ywuq,Popbela_com
Mon Feb 12 23:46:57 +0000 2024,Ada banyak wakil partai dan sukarelawan militan di KPPS di semua tingkatan yang beroposisi dng 02. Jadi jangan bermain di tanah basah bisa tenggelam nanti.,AgusKuswanto121
Mon Feb 12 23:46:42 +0000 2024,trima uangnya coblosnya tetap 03,WongeG1man
Mon Feb 12 23:46:35 +0000 2024,@ganjarpranowo Ganjar Mahfud TOP BGT. Paling cocok jadi presiden RI ,tepat_sasarann
Mon Feb 12 23:46:19 +0000 2024,@ganjarpranowo Ganjar Mahfud TOP BGT. Paling cocok jadi presiden RI ,tepat_sasarann
Mon Feb 12 23:46:16 +0000 2024,@WotaSepuh48 @baymaaks @imanlagi 03 itu cuma kecewa Jokuwi gak pilih Ganjar padahal dulu Jokuwi promosi Ganjar.. Jokuwi ingin Ganjar duet dg Prabowo namun masing² gak mau jadi Wapres dan akhirnya pecah kongsi..,RumahStrawbery
Mon Feb 12 23:46:11 +0000 2024,@ganjarpranowo Masyarakat Papua antusias menyambut pemimpin yang sederhana dan ramah Pak Ganjar,Xinnn1555145
Mon Feb 12 23:45:43 +0000 2024,MATERI KAMPANYE Anies = beribadah sholawat bersama dpt kawan baru saling doakan dpt konsep perubahan utk keadilan Prabo = dpt angkutan makan amplop kaos &amp; joged2 Ganjar = dpt angkutan makan amplop kaos &amp; hiburan,faridelhakamy12
Mon Feb 12 23:45:35 +0000 2024,@ganjarpranowo @ernestprakasa Ganjar Mahfud TOP BGT. Paling cocok jadi presiden RI ,tepat_sasarann
Mon Feb 12 23:45:32 +0000 2024,@ganjarpranowo Pak Ganjar sosok pemimpin yang dekat dengan Masyarakat Papua,TzyKennn
Mon Feb 12 23:45:26 +0000 2024,@DokterTifa Mantap pilih pak anies kalau kalah atau gagal di putaran pertama punn gue ke ganjar aja drpd 02 https://t.co/79Gl1RqMvT,UIswantoro
Mon Feb 12 23:45:05 +0000 2024,@ganjarpranowo Pak Ganjar sosok pemimpin yang amanah dan merakyat banget ️,xinnntzy83
Mon Feb 12 23:44:59 +0000 2024,@yusuf_dumdum Apapun yang terjadi tetap ganjar pranowo dan Mahfud MD pilihan saya salam 3 jari ,Windy28377845
Mon Feb 12 23:44:50 +0000 2024,@SumitroYoel Ternyata program-programnya jalan kok walaupun ga 100% berhasil. Bahkan hal-hal yang mungkin ga terpikir oleh yang lain tapi beliau pikirkan. Rasa empatinya tinggi cara jawab saat debat dan desak anies. *Ini nyari tahu soal fitnah ga cuma tentang pak anies kok pak ganjar juga,ichheisseWe
Mon Feb 12 23:44:35 +0000 2024,@ganjarpranowo Mari kita dukung terus Ganjar Mahfud pemimpin yang jujur dan anti korupsi ,tzy_udil
Mon Feb 12 23:44:30 +0000 2024,kalo milih amin dadi negoro arab Lk ganjar yoiku koyo megawati korupsi Lk milih prabowo dadi dikuasay cina pusat pusat kota akan di kuasay mereka dan orang orang pribumi akan nyingkrih satu persatu kebawah pusat pusat kota di kuasay mereka skrg liat aja surabaya ya ayo di pilih²,bLitar_KEDiri
Mon Feb 12 23:44:19 +0000 2024,@AirinDatangLagi Mengalahkan ganjar dan pdip adalah tugas yg mulia. Pahalanya seperti menyelematkan negara dari kehancuran.,Lamon_gray
Mon Feb 12 23:44:10 +0000 2024,@pikiran_rakyat ‍ Jangan gentar...ada Ganjar...jangan takut ada Mahfud ️ Ganjar Mahfud Hebat #Coblos3 https://t.co/Zum2d4OHXL,tanveerbilgrami
Mon Feb 12 23:44:05 +0000 2024,@Jayabay19479190 Amin. Amin. Amin semoga Ganjar__ Mahfud unggul,LuluLucyanna
Mon Feb 12 23:44:05 +0000 2024,@ganjarpranowo Gasssspollll Ganjar Mahfud MD pemimpin yang amanah dan terbaik ,ballTzyyy
Mon Feb 12 23:43:40 +0000 2024,@ganjarpranowo pak ganjar selalu memberi solusi terbaik untuk masyarakat,inenovel925
Mon Feb 12 23:43:32 +0000 2024,KPU di sini adalah para processor asli lulusan negeri Konoha !! ...ekwkwkwk...,AgusKuswanto121
Mon Feb 12 23:43:32 +0000 2024,@ganjarpranowo Pak Ganjar sosok pemimpin yang amanah dan merakyat banget ️,CukrukK
Mon Feb 12 23:42:36 +0000 2024,eh kenapa dah klo org2 suka alam ganjar. mau kaya anak kabupaten kaya satria kaya siapa jg ydh biarin aja. salty amat.,shasamatilda
Mon Feb 12 23:41:59 +0000 2024,@kdrama_menfess jeong ganjar,zuxhin
Mon Feb 12 23:41:51 +0000 2024,@IdonNara Penjilat jokowi ya...,Bambangmulyonoo
Mon Feb 12 23:41:38 +0000 2024,Mengintip Rumah Baru Ganjar Pranowo di Wedomartani Begini Kata Para Tetangga https://t.co/Ig6C8WOMIJ,Gatottiwul21
Mon Feb 12 23:38:43 +0000 2024,@kompascom wong ....... kwi bebaaasss wong ......... kwi bebaaaaass ,WongeG1man
Mon Feb 12 23:38:43 +0000 2024,@ganjarpranowo Pak Ganjar memang sosok yang selalu menginspirasi kita sebagai generasi penerus,tombol_1991
Mon Feb 12 23:38:20 +0000 2024,Tapi menggunakan Kiayi untuk dapet simphatik spy keliatan termasuk golongan taat agama. Tuhan aja dibohongin apalagi manusia !! ....wkwkwkek...,AgusKuswanto121
