created_at,full_text,username
Mon Feb 12 23:53:16 +0000 2024,@insurii Huum. Terus maksud aku tuh kalo emang elit yg elit bgt mungkin ada alasan milih prabowo yg kebijakannya pun banyak menguntungkan elit. Tp kalo cuma 'cukup' atau berpendidikan kelas menengah aja tu jg ga yang bakal dpt apa2 kalo prabowo jd soalnya irl 02 tu super banyak...,erimel_
Mon Feb 12 23:52:52 +0000 2024,@99propaganda @prabowo Bener apanya om? Dari awal aja udah melanggar konstitusi...,dra_tio
Mon Feb 12 23:52:47 +0000 2024,@jokowi bisa beralih ke yg lain klo anies gak menang asal bukan prabowo aja https://t.co/VQede5UqYI,jeffrey_pradana
Mon Feb 12 23:52:46 +0000 2024,@A4H74976106 @kumparan Di video awal yg pas pake baju ungu betina itu hanya sebut nama Pak Rosan dalam ceritanya mengenai masa jabatan Pak Prabowo kalo menjadi Presiden tapi di keterangan tertulisnya dia seret2 nama hasto kristiyanto buat penguat alibinya somplak nih betina,mr_riopermana
Mon Feb 12 23:52:39 +0000 2024,@LOVE_UM4M4 Mbaaa mba. Rasa no kl Prabowo Gibran menang. Rakyat jgn ngeluh nanti ya..,SemutMerah2024
Mon Feb 12 23:52:20 +0000 2024,@SahabatAKost @prabowo @gibran_tweet Yg membuat vidio kalian yg mengedit2 vidio kalian hnya dipaslon 02 yg nyebar duwit paslon lain tdk ada,aniezz479
Mon Feb 12 23:52:14 +0000 2024,@ariel_heryanto besok jam 4 sore survey tiap tv beda-beda hasilnya. malemnya ada adegan pak Prabowo sujud syukur kubu lainnya muka cemas gk taunya yg menang bukan yg sujud....drama 15 tahun gua hidup terulang terus wkwkwk...mungkin 5 thn lagi keulang?,FarilStudents
Mon Feb 12 23:50:51 +0000 2024,@ReporterKampung @chandrawcksn @3dyw_official @jokowi @prabowo @gibran_tweet kalau jangan di tonton berati harus di tonton heheheh,MariyantoAris
Mon Feb 12 23:50:45 +0000 2024,@gibran_tweet @Gerindra mas raka sampaikan pemintaan maaf saya ke pak Jokowi dodo karna 2 periode saya selalu mencaci beliau karna saya selalu mendukung pak Prabowo sy mohon mas saya JUMARDI dari Sulawesi Selatan Takalar supaya hati saya lega karna sy disadarkan oleh pak Prabowo tentang sosok pak Jokowi,jumardi_ma1586
Mon Feb 12 23:50:43 +0000 2024,@Kiyai_MarufAmin Doa kan ya pak @Kiyai_MarufAmin besok tanggal 14 pebuari 2024 prabowo - gibran menang 1 putaran.,DrAdiguna23607
