created_at,full_text,username
Tue Feb 13 23:56:50 +0000 2024,Tetep kalem hari ini kita sepakat menangkan @prabowo dan @gibran_tweet !! Mari tunjukkan #02JariUngu punya kitaa https://t.co/cNnojX3jEv,dearjaejae1
Tue Feb 13 23:56:47 +0000 2024,jangan lupa ikuti tata cara nyoblos yang benar #02JariUngu @prabowo @gibran_tweet https://t.co/jK6CrMlwAr,Reinannda
Tue Feb 13 23:56:46 +0000 2024,Prabowo kalo jadi presiden gw ga mau pacaran sampe masa jabatannya abis Anies kalo jadi presiden gw ga mau makan indomie lagi sampe masa jabatannya abis Ganjar kalo jadi presiden gw ga mau makan nasi goreng lagi sampe masa jabatannya abis Indomie nih anying rugi dong,meyongracun
Tue Feb 13 23:56:45 +0000 2024,Semangat @prabowo Pasti menang #02JariUngu https://t.co/JLI7jRgHz4,DeVenabd
Tue Feb 13 23:56:41 +0000 2024,@syalalaela @prabowo @gibran_tweet Wah nanti celupinnya kaya gitu deh biar bisa #02JariUngu,hiimloona
Tue Feb 13 23:56:41 +0000 2024,@syalalaela @prabowo @gibran_tweet Siapp banget dong hari ini buat nyoblos #02JariUngu,laliieurr
Tue Feb 13 23:56:36 +0000 2024,@dekade_08 Siapa sih yang nggak mau dukung Prabowo Gibran https://t.co/HKDsiCjwQe,kamianimania
Tue Feb 13 23:56:35 +0000 2024,@syalalaela @prabowo @gibran_tweet Mantapp gaslahh udah siap ini ke TPS nyoblos #02JariUngu,dxyyll54
Tue Feb 13 23:56:34 +0000 2024,@threadshopee @ARSIPAJA mana ada mager semangat gini buat pa prabowo menang ,zaraaa_39
Tue Feb 13 23:56:29 +0000 2024,Teguhkan hati satukan suara mari kita menangkan @prabowo dan @gibran_tweet !! Jangan lupa abis itu tunjukkan #02JariUngu punya kita https://t.co/A036U0xhtr,__bittersour__
Tue Feb 13 23:56:23 +0000 2024,@syalalaela @prabowo @gibran_tweet Siap pol nyoblos 02 hari ini #02JariUngu,stevendfwlm
Tue Feb 13 23:56:23 +0000 2024,Salam #02JariUngu Gas ke TPS jangan sampai kelewatan dan gunakan hak pilih sebijak mungkin mantap terus pak @prabowo https://t.co/doAQk77Cb3,JeniAroon
Tue Feb 13 23:56:22 +0000 2024,@Fahrihamzah Kata siapa tidak berbohong ingat fh tahun 2019 dia bilang akan timbul tenggelam bersama rakyat tapi demi jabatan rela bohongin pendukungnya apa itu jujur tidak bohong tanya hati nurani dong karna jejak digital masih ada dan ucapan bung fh soal jelkin Prabowo jg masih ada bung,DwiHarjoko9
Tue Feb 13 23:56:21 +0000 2024,kita harus serukan salam #02JariUngu untuk kemenangan Prabowo-Gibran ayo gunakan hak pilih untuk indonesia maju dan lebih emas. @Fahrihamzah @DediMulyadi71 https://t.co/asQgZLrllu,Desi_Tamara_
Tue Feb 13 23:56:15 +0000 2024,@AndreasSolusi lah emang prabowo jokowi g nguntungin diri sendiri??,gatidasyehh
Tue Feb 13 23:56:13 +0000 2024,Yok ayok semua mari kita rapatkan barisan satukan hati menangkan @prabowo dan @gibran_tweet !! Abis itu selfie dengan #02JariUngu jgn sampe lupa https://t.co/YFkMqBtkP0,xxbitter_sweetx
Tue Feb 13 23:56:00 +0000 2024,Ayo datang ke tps dan jangan lupa kita selfi pakai dua jari sebagai tanda bahwa kita milih @prabowo #02JariUngu https://t.co/BfanftH2fH,dianaputri86365
Tue Feb 13 23:55:59 +0000 2024,@bungasyarlla @NusronWahid1 @Fahrihamzah Yuk bisa sekali putaran untuk prabowo gibran #02JariUngu,anautumn7
Tue Feb 13 23:55:59 +0000 2024,Nah ini hari yang ditunggu tlah tiba yuk gunakan hak suara kita @prabowo #02JariUngu https://t.co/sF1BrMZN15,suppkag0mrzgu
Tue Feb 13 23:55:57 +0000 2024,@denismalhotra Aku malah kebalikannya ka ini pertama kali pulang kampung buat bisa pilih pak Prabowo,by_Kamalia
Tue Feb 13 23:55:57 +0000 2024,Yuk ramai ramai datang ke tps jangan sampai lupa pastinya salam #02JariUngu untuk kemenangan @prabowo @gibran_tweet https://t.co/PxXUlppRQz,sejutaq
