created_at,full_text,username
Tue Feb 13 23:45:39 +0000 2024,setiap debat membuktikan bahwa Mas Ganjar Mahfud adalah pemimpin yang mampu menyampaikan visi dengan jelas dan lugas. @ssyahdara #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/9Pw1siRNnu,imranzaii
Tue Feb 13 23:45:37 +0000 2024,Pak Ganjar - Prof Mahfud memberikan dorongan moral kepada seluruh pendukungnya untuk berperan aktif di TPS. Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @hyuzowl #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/LHZBFY7Wcm,TeguhAndria7
Tue Feb 13 23:45:26 +0000 2024,Tak ada yang mustahil jika kita bersatu Vot3 Love Ganjar - Mahfud. Tiga Kali Lebih Sejahtera Indonesia Jaya! @paij0p #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/FkRy1u7ckP,gnwnrkaaarkaa
Tue Feb 13 23:45:16 +0000 2024,@kumparan Yang ku dukung cuman pak anies jika kalah pun lebih baik dukung pak ganjar dan jelas menolak untuk mendukung pragib https://t.co/PxyC0ZXPuQ,ritaliana382
Tue Feb 13 23:43:49 +0000 2024,Tanggal 14 Februari 2024 dan bertepatan dengan hari kasih sayang jangan lupa ya - @ganjarpranowo @mohmahfudmd #GanjarMahfud2024 #GPMMDSATSET #GanjarMahfudNews https://t.co/ORNzEmpJ1C,jotajotiID
Tue Feb 13 23:43:36 +0000 2024,Mari kita jaga Indon3sia B3rsama dengan Vot3 Lov3 untuk Mas Ganjar &amp; Pak Mahfud. Kesejahteraan berkali lipat Indonesia Hebat ! @gerintul_ijo #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/IVQtHjof6B,bastianfinoba
Tue Feb 13 23:43:33 +0000 2024,@tvOneNews Masalahnya O2 tuh nggak jelas bro. Kalau Anies sampe kalah di putaran pertama mendingan bantu Ganjar aja deh. https://t.co/WeOoD64vvv,andiraness
Tue Feb 13 23:43:33 +0000 2024,@yusuf_dumdum Kami pilih Ganjar Pranowo dan Mahfud. Coblos 03 #GanjarMahfud2024,10Syahroni39990
Tue Feb 13 23:43:31 +0000 2024,@CNNIndonesia Si pelanggar sok an ngelapor wkkwk Dah la anies juga yg betul tapi kalo kalah pak ganjar aja deh yah. https://t.co/qPHYrdrcG4,Aghniaghiani
Tue Feb 13 23:43:27 +0000 2024,@MarahIchsan Mindset agraris kyk Ganjar gak bs nerusin karya p.Jokowi.Hrs ada mindset industri.Oops GAK SALAH TA MAU MENERUSKAN PAK JOKOWI KNP TIBA-TIBA LUPA BAGAIMANA KALIAN MENGHINA PAK JOKOWI. INGAT 1 HAL PECINTA SEPAKBOLA DI INDONESIA 80% DAN KAMI TIDAK AKAN PILIH ORG YG MENGGAGALKAN U20,WinaMaranatha2
Tue Feb 13 23:43:25 +0000 2024,@tvOneNews memang ganjar sih pilihan satu satunya kalau anies kalah ogah bgt pilih prabowo https://t.co/omxo4Xc5o8,rizkyfiberr
Tue Feb 13 23:43:24 +0000 2024,@tvOneNews Jujur kalo Anies gagal di putaran pertama mendingan sok-oke aja langsung ke Ganjar O2 tuh bohong mulu! https://t.co/2GBS7JD0n1,amaqirana
Tue Feb 13 23:43:22 +0000 2024,Mas Ganjar membuktikan bahwa kehadirannya bukan sekadar janji tetapi komitmen nyata untuk meningkatkan kesejahteraan rakyat. @taesnuna #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/ZKBPXiD0B2,nabilladewiii
Tue Feb 13 23:43:11 +0000 2024,Santai tapi keren Mas Ganjar menunjukkan d3mokrasi yang sehat . Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @MuhaJir76995484 #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/VtE24tQb5h,tkaanjniii
Tue Feb 13 23:43:06 +0000 2024,@tvOneNews Lah masa sih milih O2? Kalo Anies kalah di putaran pertama mendingan gebetan kita Ganjar aja deh https://t.co/jyEJLNH9ty,anicadwi
Tue Feb 13 23:42:58 +0000 2024,Puji Tuhan sat set sat set ganjar mahfud menang ,Vzchartv
Tue Feb 13 23:42:57 +0000 2024,@tempodotco makin yakin pilih pak ganjar sukses selalu pak,Faatin36338565
Tue Feb 13 23:42:53 +0000 2024,@tvOneNews yakin anies bisa satu putaran sih tapi kalau ternyata gagal ya saya terpaksa pindah ke ganjar. yakali ke prabowo https://t.co/uowdECF7JK,andralofaa
Tue Feb 13 23:42:51 +0000 2024,@tvOneNews Gw sih setuju kalo Anies kalah di putaran pertama pindah aja selesein ke Ganjar lebih reliable lah daripada O2 https://t.co/Ixpx05RRGP,sanaviera
Tue Feb 13 23:42:50 +0000 2024,@kumparan Dari awal sudah yakin dukung pak Ganjar Mahfud bismillah pak atas izin Allah SWT bapak Jadi presiden amin,nikmah_tss
